stade_id,ville,pays,nom
1,Atlanta,USA,Mercedes-Benz Stadium
2,Boston,USA,Gillette Stadium
3,Dallas,USA,AT&T Stadium
4,Houston,USA,NRG Stadium
5,Kansas City,USA,Arrowhead Stadium
6,Los Angeles,USA,SoFi Stadium
7,Miami,USA,Hard Rock Stadium
8,New York/New Jersey,USA,MetLife Stadium
9,Philadelphia,USA,Lincoln Financial Field
10,San Francisco Bay Area,USA,Levi's Stadium
11,Seattle,USA,Lumen Field
12,Toronto,Canada,BMO Field
13,Vancouver,Canada,BC Place
14,Guadalajara,Mexico,Estadio Akron
15,Mexico City,Mexico,Estadio Azteca
16,Monterrey,Mexico,Estadio BBVA
